lab       NUDT16L1  MDM1      TRIM27    ENPP4     AKR1B10   SDPR      AKR1C3    C17orf104 ICAM1     MBP       PALM      CRYAB     KRT14     NES       ARHGEF6   C1orf144  GSTM3     RECQL4    EGFL7     ZNF185    CTSZ      CLEC3B    APBB1IP
 32962.400   908.778  1530.920  1728.480  1652.330 19464.800  7583.120  3865.040  7731.380 12804.700  1476.670 22200.600  1438.980  2820.630  2684.100 10026.300   675.362   149.032  2874.770  1269.990  1249.900  2054.630  1813.640   873.080
 35157.400   966.573  1706.820  1757.360  1730.690 20735.500  7852.180  4376.710  7765.280 13121.200  1723.880 21304.600  1526.780  2898.120  2821.930 10540.700   716.016   180.080  2981.800  1417.840  1433.620  2019.840  1959.510   876.336
SLC27A1   XRCC4     DUSP3     F8        HARS      TMEM63A   RPL38     RAB10     C3orf31   VAMP3     FAM92A1   FBXO21    CD274     CCDC51    VPS37B    NOL9      HIBCH     PKN2      CLSTN1    PREB      DNAJB2    BBS7      CORO1A    DNAJC11
  1877.390  4567.930  2154.550  1095.610 11266.400   457.109  3975.340  6389.580   589.487   904.146   634.783   480.960   105.798  1607.620  2144.060  3045.130  5802.020  6191.110  3441.240  1460.460  2189.500   823.949  3627.670  5048.870
  2494.320  4802.100  2464.220  1004.140 13326.200   556.560  4793.620  7135.990   769.994  1028.750   594.573   595.513   237.341  1656.340  2605.510  3209.490  5862.160  6827.480  3418.120  1701.890  2523.620   831.956  3775.540  5663.830
  2432.330  5175.260  2509.770  1169.910 13914.900   547.234  5030.920  7567.070   767.434  1036.450   659.697   580.530   192.949  1788.850  2577.650  3487.230  6331.180  7170.670  3692.960  1737.090  3096.980   858.530  4022.870  6112.370
  2516.490  5432.400  2720.140  1207.690 13937.200   600.793  4901.360  7754.590   772.580  1153.240   733.080   639.164   195.856  1909.530  2804.470  3601.170  6888.470  7584.180  4081.560  1848.250  2246.730  1019.430  4374.090  6041.340
RAB3GAP2  FRS2      MARK2     XPNPEP1   SNX33     ACO2      PPIB      PKN1      RPL3      PITRM1    WIPF2     GMPR      BRD4      ARPC5L    SLC37A4   DYNC1LI2  FAM111A   CPSF3     HOMER1    SMC6      CARS2     ZBTB1     CCT4      COPE
  7209.180    79.787   217.419  7265.350  1194.420 11854.900 14583.900  4079.980 10882.400 15005.800  2626.580  1268.050  8351.040  2536.430   790.636  5342.890  1241.270  6396.770  1732.460  1517.920  4388.350   245.793 14709.100  4320.350
  8306.860    87.827   350.749  8777.420  1543.510 13736.500 15543.200  4692.190 11247.400 17775.400  3412.860  2161.870  8879.990  3108.750   876.786  5969.710  1257.750  7295.540  2030.690  1616.770  4761.390   306.570 16651.300  4710.580
  8604.670    79.626   329.475  9483.090  1512.400 14294.100 16721.500  4735.400 12992.600 18507.900  3412.300  1972.640  9531.960  3137.250   921.669  6257.690  1365.840  7561.510  2094.680  1714.840  5067.010   314.489 17391.700  5083.320
  9001.170   110.573   315.296  8723.780  1595.070 14752.600 17475.300  5221.900 12127.400 18705.500  3443.970  1921.180 10031.900  3272.430   971.601  6587.630  1471.850  7989.170  2180.120  1846.330  5328.600   313.106 18244.400  5178.950
CAPZA2    ANO10     AHSA1     CDK9      PLEKHA6   SNX9      TFAP2A    NAT10     NIN       ARL2BP    EI24      MRPS35    PEX6      ISY1      PAAF1     LYAR      CNPY3     PSMB2     CCBL1     C20orf112 OAT       SPATA5    GTF3C1    ADARB1
  5897.070  4984.730  6820.470  2022.120  1046.910  5258.420   467.155  8045.160  1499.980  1267.770   494.828  3066.270   248.936  6615.010   369.258  4438.660  4085.250  4314.580  1809.140  1831.220 10909.100  3746.340  6483.770   141.491
  7130.430  5727.230  8738.000  2051.520  1027.100  5975.440   443.743  9748.890  1632.920  1674.670   494.812  3375.560   256.431  7498.630   474.654  4670.610  4464.390  5430.320  1963.830  1834.420 11862.900  4384.820  7182.790   131.314
  7178.550  5957.040  8714.500  2198.770  1069.150  6178.080   463.869  9864.710  1717.860  1654.060   534.742  3552.310   263.180  7808.570   472.069  5691.860  4931.190  5487.220  2049.080  1982.370 13015.300  4423.620  7562.030   146.359
  7625.280  6215.690  8966.310  2430.610  1287.900  6588.900   571.645 10363.800  1843.770  1691.110   590.388  3772.230   311.470  8240.040   487.543  4667.100  4791.820  5595.430  2242.000  2187.000 12889.300  4826.900  7985.910   164.112
SENP1     RAB13     RG9MTD1   TRIM62    TMEM11    LGALS3    TRIP11    PHKB      FTSJ1     RPS3      SLC16A2   NFYA      PPP1R7    PTPN9     MIER2     ATL2      KIAA1429  EIF5      ST13      OBFC2B    RPS19BP1  DDX50     PRKAA2    ZNF277
   294.231  9632.130  9687.350   295.707  1477.050  4751.140 24037.600   612.996   745.590   877.573  1396.630   593.108  8014.650  1849.590   234.413  3193.350  2800.680  8334.120 17378.300  1162.210   864.538  8993.690   841.228  2516.260
   326.864 10676.400 11199.900   280.087  1593.190  5046.750 25063.100   852.170   871.834   833.140  1401.050   785.294  9076.240  2347.620   217.056  3814.210  2671.180  8846.810 20032.300  1666.890   902.241 10553.400   986.902  2693.840
   349.413 11342.900 11547.400   312.870  1628.840  5509.490 26825.800   812.046   860.739   949.791  1535.460   754.832  9495.980  2222.980   246.239  3902.030  2948.710  9397.970 21114.200  1660.660   941.950 10786.400  1045.670  2870.570
   357.483 11771.700 12230.800   342.639  1867.650  5649.230 29107.100   857.060   982.058   999.329  1652.350   815.904  9980.770  2560.250   268.293  4086.390  3289.360 10189.000 21539.700  1565.470  1073.030 11509.000  1039.660  3072.610
AP2M1     CCT3      KLRAQ1    WDR91     BMS1      GPR89A    SNRNP27   PRC1      RICTOR    PTRH1     CLASP1    ZBTB20    DGCR14    MRPS9     LRP12     TNFAIP1   FAM48A    NKIRAS1   ELF2      DSCC1     THOC5     MEN1      RFK       RPN1
 12865.600 20287.100  3532.590   964.967  2733.590  1134.820   430.832  1324.140   788.397   761.374  6432.450   956.237  1786.760  5272.200  2171.010   728.009  1131.640   285.342   193.226  1014.000  4758.290   419.046   514.648 16857.400
 13679.800 22242.400  4216.570  1314.630  3314.920  1501.870   498.857  1282.200  1213.250   867.810  6783.050  1185.430  2190.070  5584.180  2989.450  1104.350  1250.880   374.425   339.537  1375.040  4971.370   500.786   858.618 18725.300
 14584.800 23609.800  4270.900  1268.090  3367.850  1467.870   539.659  1430.100  1141.010   866.005  7254.720  1180.350  2178.780  5988.930  2878.770  1078.790  1280.160   348.765   306.963  1294.580  5320.340   508.374   773.602 20875.500
 15697.300 24906.600  4569.740  1333.390  3534.730  1541.780   521.554  1545.430  1144.250   994.046  7834.120  1264.940  2361.940  6407.170  3013.710  1013.500  1440.600   404.714   301.483  1434.080  5793.570   542.376   795.284 19776.400
P4HTM     CERCAM    SFXN3     ECD       PPP3CB    RBM33     MIS12     DUS3L     KIF3B     RPS13     PSMD11    RABGGTB   ARID1A    C6orf57   DPM1      DNAJC19   RAB4B     MARCH5    DPYSL4    COL8A1    LETM1     ARID1B    DYNC2H1   GALM
   909.016  1224.710  5053.070  2975.690  2658.070  3670.680  2078.080  2099.130  1296.920 10465.200  9789.070  1261.060  9166.570  2079.200  2525.390  2763.030   569.961  1153.950  1591.010   513.793 11831.100  2577.250  2402.050  2601.100
  1095.320  1188.280  5760.510  3315.170  2933.550  4008.720  2316.920  2609.470  1616.640 11370.200 11048.300  1609.360 11705.200  2130.830  3185.910  3463.210   575.842  1465.800  2094.180   493.081 14313.100  3396.560  2724.890  2720.010
  1096.930  1234.820  6086.940  3494.690  3211.430  4148.440  2438.040  2720.950  1660.570 12043.200 11433.900  1602.920 11686.200  2205.830  3231.410  3528.040   632.355  1483.440  2115.070   564.380 14709.000  3332.610  2753.870  2938.500
  1193.100  1522.380  6269.270  3693.680  3178.310  4627.550  2585.170  2661.140  1670.030 12918.900 12388.300  1678.920 12183.000  2608.940  3300.470  3592.860   678.349  1513.340  2100.580   587.589 15203.900  3502.450  3112.400  3150.500
DDX39B    GGA2      MECR      NDUFA13   ASCC1     VPS26A    CTDP1     MTA2      RDH14     PDAP1     ELMOD2    DNAJC30   SBF1      ZMAT3     NOP58     TRABD     PGM3      C16orf88  RAB27A    GTF2H2    CRIM1     HMGB3     TRIM28    NTN4
  3353.740   956.090   627.518  3544.630  2945.210  7243.960  2063.630  6528.060  2382.200  4594.140  2556.660   922.568  2205.080   854.544  8518.570   679.615  6565.200  5120.790  2975.430   941.080  4673.420  5471.500 20323.200    83.085
  3985.060  1270.410   798.135  3573.680  3575.940  8662.670  2128.490  7569.810  2471.730  4934.870  2592.680  1023.770  2598.940  1032.110  9002.480   659.997  6800.530  4585.730  3569.730  1233.740  4939.930  5434.070 23534.800    90.452
  4059.050  1234.100   832.157  3870.480  3627.550  9123.280  2316.110  7907.540  2631.800  5302.240  2887.160  1092.270  2634.950  1054.360  9656.930   692.124  7316.550  5270.130  3630.240  1240.910  5348.220  5945.500 24759.800    89.787
  4340.300  1314.410   799.741  4279.730  3839.490  9092.730  2485.690  8241.200  2928.600  5613.980  3012.150  1137.640  2869.240  1107.270 10418.300   842.922  8003.850  5863.020  3877.110  1253.830  5679.600  6565.040 25553.500   109.315
USP39     SNRPA     DNAJB9    L2HGDH    RHOT2     WDR3      FGFR1     PHLDB1    RCOR3     SENP3     GTF2H1    ZNF24     CCNL1     WASL      RPS27     BPNT1     RCN2      NLE1      FDXR      SPPL3     MAPK8     SYNJ1     CCAR1     TLN2
  4249.470   931.769    58.431  2372.970  2710.450  4675.340   908.301  8156.410  2819.130  2661.850  2572.030   302.450   728.359  3123.600  4012.070  3373.060  6587.290  1808.330   870.063   121.945  1026.640   950.608  9165.120  3729.360
  4675.970   963.757    55.794  2422.320  3557.870  5201.060  1239.310  9763.420  2840.010  2580.270  2997.010   299.002   793.781  3135.230  4413.920  4358.220  6942.860  1921.840   878.464   121.019  1478.520   937.693 11240.100  4094.160
  4866.490  1041.470    67.962  2572.070  3587.980  5507.000  1213.270  9970.060  3062.330  2864.240  3114.340   337.363   852.614  3532.570  4888.730  4447.850  7569.270  2033.680  1010.220   123.248  1418.090  1026.320 12042.200  4436.430
  5374.010  1133.380    63.107  2930.480  3605.730  5828.570  1251.700 10603.500  3435.060  3155.250  3281.660   353.447   895.722  3657.380  4793.890  4437.230  7980.850  2253.630   999.738   156.086  1462.120  1145.140 11423.400  4562.100
IDH3A     SRSF9     TPI1      MYADM     DAG1      SMARCE1   CPSF1     COG7      PNPT1     TRIP13    ADAMTSL1  TRAPPC9   SMARCD3   HNRNPUL2  INF2      MLL       TBL3      LENG1     IKZF2     ATP5C1    PPT1      ATP6V0A2  CWF19L2   CDK5RAP2
  6350.970 10465.100 48089.200   332.361  7542.910  4193.580  5250.770  3234.950  9304.690  3158.600  1527.980  1045.450  2939.190 19406.300  5835.190  1883.410  4866.130   638.190   105.847  5335.550  2647.210  1092.700   467.812  3580.370
  7981.450 11282.900 37058.400   503.578  8851.060  4638.180  6688.260  3774.240 11238.700  3829.570  1868.350  1146.420  3735.430 21754.400  6555.350  2101.120  5707.760   629.335   132.764  5493.050  2694.580   985.034   607.671  3801.850
  8204.340 11957.700 45403.100   483.067  9161.950  4936.350  6684.260  3894.390 11346.600  3860.160  1951.960  1238.910  3736.590 23364.200  6923.690  2144.070  5965.480   715.628   141.322  6014.850  2926.340  1129.050   578.787  4207.480
  8280.800 13058.700 52542.400   478.772  9701.460  5226.860  7054.740  4172.910 12298.900  4184.970  1958.560  1284.990  3949.660 24045.600  7348.020  2445.680  6217.380   744.964   133.641  6464.420  3229.860  1265.600   660.782  4301.940
PUS7      MRPL17    TMEM214   STX7      GOLGB1    MRPL48    STON1-GTF2ASAH1     FOXK2     MRPS23    ATP5B     NAA35     MCM3      NOLC1     ENDOD1    BCL7C     RCL1      COX15     PUF60     GLMN      RREB1     PATL1     TARS2     TERF2IP
  7110.910  3584.660  5217.720  2835.150 52901.400  3063.160  1541.200  6135.710  1588.710  4255.040 28406.900  3216.480 13510.800  3254.740  2923.550  1698.470  1620.830  1043.160 10843.400  1253.370   255.408  2222.930  3417.040  4641.760
  7917.360  4133.630  5846.850  3862.380 60265.800  3168.710  1616.540  7144.760  1512.920  4612.900 31498.500  3435.000 15735.900  3843.730  3717.890  1699.260  2172.490  1818.240 11668.000  1568.850   246.796  2476.930  3832.680  5651.300
  8268.860  4377.060  6226.140  3965.260 64000.600  3497.800  1692.270  7500.360  1692.690  4850.860 34099.400  3695.670 17281.800  3946.490  3833.310  1874.170  2162.120  1678.390 12491.300  1598.540   281.878  2653.300  4098.390  5818.850
  9055.580  4522.140  6532.240  3760.760 66545.200  3693.030  1951.630  7825.200  1887.590  5386.570 35061.300  3983.490 16490.700  4250.680  3836.160  2050.200  2220.930  1627.940 13520.800  1662.890   298.560  2778.880  4281.220  6079.550
SGCB      ARFIP2    MTX1      LSM14B    CC2D1A    GPAA1     TELO2     KPNA3     NCOA5     C9orf46   HDAC1     LDLRAP1   IVD       ZNF207    EXOC7     KIF20A    DDX39A    AMZ2      STK3      RBM5      ACSL4     EP300     ACAD8     MAFG
   498.150  4036.250  3240.540  2311.680  3508.390  1862.420  1911.210  4636.340  5785.360  1153.770  4213.240   519.456  8879.290  4492.140  6598.290  1220.090 13566.600   744.194  2182.240  4517.190  9638.760  2702.970   938.245  1004.020
   522.838  4297.860  3260.150  2814.980  4372.490  2537.720  2133.300  5640.140  6410.270  1198.170  4360.350   580.604 10588.000  5616.680  7795.990  1315.440 14660.500   690.170  2511.690  4699.160 11519.700  3198.460  1511.430  1304.640
   563.312  4708.870  3700.400  2928.200  4376.370  2538.550  2209.210  5847.810  6917.880  1224.350  4754.530   604.635 11058.200  5667.770  8155.670  1378.160 16038.100   803.409  2602.970  4964.960 12250.600  3282.460  1368.660  1369.610
   616.955  4926.700  3815.950  2999.600  4736.560  2549.660  2468.720  6042.290  7193.720  1497.260  5167.310   668.678 11475.300  6033.510  8506.570  1557.030 16638.700   857.077  2831.130  5705.400 12248.500  3550.890  1467.920  1304.060
SMARCAL1  TAPT1     SCCPDH    FAM65A    CYC1      DST       PVRL2     SLC35E1   TTN       AK3       RAPGEF6   CRNKL1    C7orf42   DUSP12    DIP2C     DHX8      MYO19     PPHLN1    HECTD1    EED       SRRT      ERAP1     RBP4      CHCHD7
  1792.190   738.269  4139.250  1868.530  3736.210 26041.600  4953.240   602.189   941.337 13495.200  1270.890  3527.490   232.099  1923.170   438.639  1812.610   869.906  3685.350  9327.450  2540.070 17227.800 14197.300   263.458   377.991
  2036.570  1091.130  4835.430  2223.610  3973.960 30947.000  5977.700   585.567   845.958 14122.600  1629.410  3741.640   245.677  2187.810   450.843  1990.250  1150.530  4010.300 10884.500  2572.130 18063.700 16009.700   258.692   316.577
  2167.010  1031.070  5127.700  2300.520  4235.270 31975.700  6543.910   656.441  1011.020 15208.600  1604.430  4056.450   260.950  2255.040   470.194  2019.810  1141.900  4347.860 11411.800  2776.890 19826.500 17237.900   277.383   381.889
  2267.110  1087.820  5267.420  2439.450  4695.510 34036.300  6118.090   719.772  1060.190 16800.800  1757.660  4370.490   292.931  2511.910   561.256  2390.140  1201.080  4576.360 12029.200  3152.560 21107.400 17802.800   328.409   424.001
C1orf55   LRRC20    GMPPA     GLT25D2   PPPDE1    RAF1      MRPL21    PTGES2    ARFGAP2   LIN54     SIRT1     EIF3M     KCNQ5     BRE       STAMBPL1  PLEC      PLEC      PRPF18    DIABLO    TIRAP3    DIP2B     PPIP5K2   SLC7A5    HPS4
  1418.430  3395.880  2956.540  1101.520   601.771  1822.880  1540.080  3490.170  3175.060   668.559  2685.320  3849.260   975.772  3161.870  1270.530  1681.460  1274.380  1265.800  4693.730  2378.120  3222.380  2477.660  5534.330   316.329
  1403.490  3955.740  3935.060  1154.410   698.430  2296.600  1753.630  3903.010  3729.900   772.538  3370.170  5091.270  1086.960  4040.180  1441.050  2067.430  1261.010  1380.480  5535.490  2494.000  3569.040  3105.990  5694.330   536.721
  1557.430  4169.600  3900.920  1251.200   719.160  2373.670  1844.440  4229.990  3993.830   797.816  3457.710  5126.990  1190.260  4073.020  1502.670  2107.570  1447.910  1478.400  6335.220  2859.640  3840.260  3144.210  6371.470   503.736
  1717.580  4363.540  4098.330  1367.320   790.114  2409.600  1981.310  4357.660  4027.170   876.424  3577.550  5260.390  1206.520  4295.510  1648.690  2249.360  1499.260  1598.070  5557.510  2804.860  4056.440  3348.330  6685.750   488.301
TSEN2     MFSD6     GBA       KIF4A     SEC61A1   NUFIP2    BAZ2A     DDX1      CIT       TECPR1    ACSS2     TPP2      ERGIC1    C5orf51   CISD1     PPARD     CLINT1    PRPF6     ZHX2      ATP13A1   C7orf28B  ANKS3     GNAZ      UHRF1BP1L
   184.192   291.826  8126.350  4303.630  6310.490  9905.200   963.739 17726.500  3579.310   392.553  2481.930 16597.600  3489.590  1061.030  3534.650   382.575  7308.650  8414.180  3953.650  6701.770  2785.090   803.291   404.303  2033.680
   182.551   249.361  8952.150  4465.810  6819.810 12534.000  1201.190 21648.900  4233.150   395.716  2461.110 19561.100  3730.540  1636.870  3557.270   336.181  8708.830  9327.950  5316.810  7909.100  3795.860   747.639   460.878  2359.840
   198.518   288.442 10380.900  4848.400  7608.790 12723.900  1214.790 22735.300  4424.800   431.393  2795.320 20413.200  4064.690  1528.920  3969.940   409.911  9097.490  9834.510  5151.360  8224.150  3719.920   791.211   487.156  2387.770
   228.024   341.032  9483.890  5352.070  7666.010 13380.600  1304.180 23081.200  4667.890   486.068  2957.980 21680.700  4341.800  1612.390  4288.190   427.067  9555.730 10827.400  5648.080  8797.130  3949.100  1016.290   521.179  2732.800
ABCB8     ZNF687    CAD       PYCR2     GUSB      IRAK4     TRIM4     WDR36     SMARCC1   PROCR     SEC24C    RBM45     RASSF3    NSF       ATR       ABCB6     PEX3      RPS25     CMBL      TUSC2     ABR       RNF169    VPS52     EML1
   896.080  1437.220 16983.100  4733.840  1822.880  1511.370  1198.490  3454.690  5576.500   952.696  7238.650   536.548  1227.070 15239.300   354.262   323.717  1083.240  5924.730  1598.150   624.036  4033.360   634.025  2102.410  1409.650
   852.743  1938.650 20237.200  5033.070  2220.870  2130.950  1478.760  4212.750  6592.520  1132.840  8281.360   578.209  1184.080 16938.000   310.188   375.007  1167.200  5023.270  2134.500   813.569  4848.040   735.906  2311.830  1609.650
   942.083  1933.560 21197.600  5585.160  2254.040  2023.130  1491.830  4321.410  6861.230  1190.760  8762.530   629.959  1391.890 18660.900   372.904   383.897  1256.420  5951.400  2152.180   806.212  5196.530   757.835  2458.180  1679.280
  1096.180  2001.750 22205.300  5804.340  2461.590  2224.420  1630.320  4620.550  7332.090  1241.750  9340.370   670.554  1421.050 18879.200   402.405   431.414  1370.070  6829.470  2205.430   872.380  5174.650   841.952  2697.360  1847.600
STX8      SMARCA1   MFN2      RHEB      IFT52     DDOST     AP3M2     IMP4      RAB18     TMEM126A  HOMEZ     CRAT      BDH1      DNAJB11   PRIC285   ANAPC7    GPATCH8   PARVA     FGFR1OP2  DOCK11    NOC3L     FAM176B   ODZ3      OR5M11
  1013.620  5514.680  2172.790  4979.410   197.181  4443.730  2343.330   958.158  6183.180  1598.060   158.091  3877.300  1404.630  8237.680   330.172  2834.380 10258.200  5374.240  2553.860   175.255  6746.550   133.080  8289.070   471.699
   972.987  6652.630  3017.810  5462.080   325.716  5599.220  2268.480  1274.870  6843.750  2025.070   234.909  5182.140  1734.890  8846.420   317.847  3474.800 10857.300  5357.360  3505.450   157.453  7113.780   181.336  9655.920   956.840
  1084.040  6911.380  2990.590  5818.600   307.880  5869.430  2511.980  1279.800  7394.490  2079.330   231.061  5254.610  1828.960  9434.540   342.548  3570.330 12001.000  5859.220  3529.420   184.292  7642.310   181.777 10206.100   825.532
  1236.880  7304.590  3074.490  6388.370   303.452  5873.880  2881.270  1332.450  7844.980  2159.550   228.751  5345.510  1844.540 10555.400   415.809  3813.920 12712.700  6702.160  3563.370   205.243  8585.560   186.349 10804.600   847.145
ADAR      XAB2      TWF2      SCFD2     JAGN1     AHDC1     TMTC3     ARF4      PSAP      TLK1      SCAF8     TAF5      SETD2     PLXNA2    DNM2      MUT       RRM2B     H2AFY     EIF1AX    ZNF295    TADA2A    PET112    MCFD2     MPDZ
 16093.000  3708.250  5313.960  1530.620   376.191  1820.660  3479.670  8017.890   912.924   127.537  4712.370   734.475  2119.370  1150.670 13499.300  5853.980  2375.980  7919.380  3846.110   652.577   350.749   654.135   414.959 11547.000
 17249.200  4490.100  6334.430  1610.250   387.392  1834.630  3879.600  9397.850  1001.250   114.397  4839.930   738.700  2728.310  1356.960 15357.300  6034.940  3114.550  9148.210  3994.770   699.041   346.443   677.219   398.270 13008.300
 19408.200  4565.740  6708.520  1823.110   411.166  2012.910  4105.070 10473.300  1012.850   130.481  5275.740   848.259  2646.420  1413.720 16440.300  6615.600  3122.790  9711.460  4235.310   755.738   382.661   766.161   460.963 13883.000
 19632.700  5034.370  6932.460  1855.350   483.274  2268.870  4515.620  9928.650  1229.580   152.950  5915.420   877.738  3033.260  1524.440 17374.700  7316.700  3311.740 10291.200  4953.960   828.349   434.547   794.378   492.274 14903.200
MITF      ELOVL1    POLR1B    MYH14     PMS1      MTFP1     ZNF622    CSNK1D    KPNA5     ZMYM6NB   PNMA3     DENND1A   MLYCD     PARL      CFH       DHPS      PFKFB3    ECSIT     ANKIB1    KIAA0564  VAMP4     HDAC8     ZBED1     VAV2
  1996.480   962.864  3201.180  1003.740  1252.050   219.922  3250.690  1647.240  3252.210   313.109   110.920   328.898   977.401   881.653  2046.020  3150.060   298.705  2865.620  1005.650  5659.860   937.290   537.531   275.591   363.563
  2108.420  1181.390  3928.450   994.654  1419.570   313.958  3696.190  1809.060  3593.810   299.562   113.232   388.421   946.015   897.248  2117.520  3881.480   295.804  3836.620  1018.870  7375.130   948.381   619.322   430.187   410.592
  2324.410  1228.380  4156.690  1133.520  1482.050   311.339  3930.270  1881.010  3869.610   347.993   124.380   392.670  1001.210   970.158  2339.970  4456.880   318.582  3984.840  1067.240  7483.230  1031.260   638.720   389.577   440.053
  2487.840  1285.700  4203.100  1209.820  1650.790   314.779  4217.100  2172.630  4159.680   370.606   138.529   448.871  1255.570  1117.370  2547.120  3797.340   379.422  3884.660  1310.270  7824.770  1183.970   720.334   439.591   469.505
ABHD11    TMED9     EVL       AK5       RPF1      FKBP14    MRI1      WDR6      ATP2A2    PIK3CD    COG8      ARAP1     MTERF     KIF13B    WDR34     ATP6V1A   NUP133    NUP153    GTF3C4    CHERP     ACTL6A    PSMB4     RAB1A     OSTC
  2819.610  4573.200   322.486  1758.180  1009.660  3970.320  1610.480  2876.200 21816.300   240.850  1495.910  3344.480   107.518  4041.440   147.803 11839.800 10198.800 14590.900  2743.460  8951.520  3585.790  4175.600  4351.660   415.716
  3183.630  5358.070   611.427  2202.690  1083.950  4275.340  1584.770  3103.180 23481.900   254.257  1756.660  4055.660   109.963  4412.810   144.357 14823.800 12853.500 16571.100  3151.400  9638.340  4883.020  4737.280  4656.390   642.630
  3354.550  5790.610   567.543  2266.210  1175.480  4769.210  1802.890  3331.350 25455.000   252.257  1870.180  4235.020   111.243  4756.660   157.576 15262.800 13245.000 17601.600  3278.990 10510.600  4898.370  5006.690  4895.950   602.137
  3699.320  5879.070   529.916  2388.570  1285.070  4921.920  1953.080  3698.690 27804.800   329.941  1954.560  4466.960   144.521  5186.080   186.032 16101.200 13875.100 19062.300  3656.880 11363.000  5066.390  5482.120  5705.650   643.615
EIF2S2    TRAPPC6B  COG3      RRP1B     GNAS      WDR5      RINT1     MRPS33    LAYN      RRM1      AER61     EIF3A     LANCL2    HK2       TDRD3     COPB1     PRKAG1    ACP6      NUDT16    SLC4A7    PSMD2     CDC42BPA  ZMYM2     TNPO2
 12636.300  1423.110  2547.090  7541.050  4713.770  2879.740   974.873  1358.380   458.238 10276.300  2980.090 27003.100  1905.950 10932.400  1712.710 15551.500  3195.340  1354.240  1441.610  5905.320 17188.600  4137.220  1485.020  4283.140
 14959.800  1599.240  3131.280  7462.940  5390.530  3918.480   954.942  1353.730   471.317 11823.900  3430.180 30445.000  2545.890 12249.800  2067.960 17111.600  3193.250  1463.880  1687.090  6387.450 18645.800  4707.850  1911.980  5195.110
 15586.600  1745.910  3239.530  9037.910  5818.420  4000.640  1083.740  1497.040   484.218 12648.000  3625.120 33833.300  2560.460 13759.600  2112.720 18412.300  3590.260  1582.690  1813.740  6736.250 20504.900  5096.440  1928.470  5539.210
 16897.700  1811.930  3445.300  8625.900  6082.620  4006.680  1189.380  1697.700   610.875 13388.000  3926.790 33864.100  2685.670 13562.700  2343.270 20090.000  3940.500  1739.320  1875.250  7758.670 21752.700  5334.310  2077.590  5639.040
NUDCD1    RBBP5     RSAD1     CDH2      CDS2      RAB2A     MCCC1     DNAJA1    SUN2      UBXN4     GLTP      MAST4     SLC33A1   KIFC1     TRIM13    UBTD2     STIM1     DGCR8     C17orf49  CREBBP    PML       DKK1      C1orf226  ORC4
  5069.020  4073.680   334.622 13663.600   868.810  6547.970  3934.630  7096.940  4528.310  2529.910  2984.360  3577.270  2711.690   524.382   273.997  1904.060  3170.940  1219.960   176.137  1799.030  6129.800    69.078    89.419   998.670
  6690.910  4498.940   299.586 16462.700   828.317  7182.030  5405.540  7550.230  5656.230  2568.870  3726.620  4230.800  2925.900   581.078   415.108  2182.940  3563.050  1649.230   251.197  2135.000  6701.380    69.781    68.678  1456.460
  6822.320  4879.420   344.164 17329.000   961.104  7934.090  5402.660  8188.470  5917.540  2808.750  3852.620  4416.300  3207.400   602.114   392.569  2307.600  3922.220  1666.300   242.054  2245.990  7232.450    75.379    89.805  1438.260
  7049.900  5234.150   404.164 18219.400  1041.480  8267.350  5619.050  9096.300  6101.110  3208.700  4068.920  4800.530  3448.160   703.010   421.033  2518.860  4030.290  1722.770   262.812  2401.920  7927.570    88.688    97.046  1463.470
ZMYM4     RPS6KA1   CDC26     STIM2     RPF2      ARL5B     FSD1      TCTN2     POLR2L    SPG7      RFXAP     EIF3L     ODF2      ALDH16A1  NKRF      GMEB1     TOMM7     ACOT7     ZC3H12C   TPP1      PRAF2     EIF3B     NOC2L     PHKA1
  2291.630   375.178  1012.720  2095.660  2029.590   192.788   972.557  1048.340   702.551  2869.620   717.489 14205.800  1972.110  2466.230  4568.820  2642.870  1036.020  4290.610   180.186  6272.420   193.249 16977.100  4606.510   934.827
  2643.750   491.474  1033.230  2395.290  2350.910   192.349  1264.420  1147.840   797.547  3049.070  1021.190 15927.700  2272.990  3501.120  5095.540  3164.360  1190.760  5047.330   224.836  7493.640   287.444 18386.600  4881.320  1350.830
  2761.900   496.412  1082.680  2670.160  2489.940   202.993  1277.480  1285.420   861.508  3326.940   990.552 17254.100  2396.630  3492.180  5530.030  3286.210  1266.030  5305.210   236.871  7745.930   289.526 20057.700  5431.930  1347.430
  3071.720   528.062  1336.000  2639.070  2688.720   252.364  1367.390  1311.560   912.626  3674.210  1066.710 18401.800  2627.270  3570.050  5909.230  3588.130  1369.940  5748.940   242.687  8554.250   279.727 21822.400  5804.900  1359.720
LIMK2     LKAP      EZH2      KLHL5     CTH       ANAPC1    EXOC2     CEP135    ARHGEF17  YIPF3     RPL36AL   PPAN      ABCC1     TTC5      NRBP2     EPN2      BCS1L     DUSP11    TMEM147   DCUN1D5   HNRNPR    ADCY3     DVL2      AP3M1
   447.816   497.471  1387.860   527.391  1899.080  2491.820  6506.440   566.763   510.440  1111.070  3523.530  2498.940  6834.130  1000.940   401.698  2508.310  1320.860  2367.620   894.631  2503.690 18774.700   134.506   374.331  2387.540
   434.753   578.718  1624.280   814.270  2487.590  2874.920  7980.590   591.303   569.530  1036.220  3867.020  2733.720  7419.410  1385.400   757.381  3813.650  1801.310  2582.050   996.293  2500.300 19642.100   110.555   612.584  2898.220
